Product,SKU,Date,Revenue,CMGR,Period,%Total Revenue,Average Revenue
RAW BEE POLLEN,6221078892081,2012-05-03,22.1,0.0,46.0,0.000798186719140208,120.03709832654123
RAW CASHEW,20014,2012-05-03,113.76,0.0,46.0,0.004108675166035749,120.03709832654123
RAW PECAN,60011,2012-05-03,113.76,0.0,46.0,0.004108675166035749,120.03709832654123
RAW WALNUT WITHOUT SHELL,60008,2012-05-03,106.6,0.0,46.0,0.0038500771158527683,120.03709832654123
STIR FRY VEGETABLES - DRAGON MIX,6224000591304,2012-05-03,26.0,0.0,46.0,0.00093904319898848,120.03709832654123
TEA TREE ANTISEPTIC CREAM,637792701206,2012-05-03,39.52,0.0,46.0,0.0014273456624624898,120.03709832654123
GOLDEN FLAXSEEDS,039978002303,2012-05-10,222.3,1.7288116562528266,46.0,0.008028819351351505,120.03709832654123
BROWN RICE,6221078144296,2012-05-17,20.8,0.0,46.0,0.000751234559190784,120.03709832654123
COCONUT OIL,6221078061111,2012-05-17,20.16,0.0,46.0,0.0007281196496772215,120.03709832654123
DRIED PRUNES WITH PITS,60001,2012-05-17,11.38,0.0,46.0,0.00041101198478803473,120.03709832654123
FACE & NECK ANTIWRINKLE CREAM,6223003831714,2012-05-17,72.77,0.0,46.0,0.0026282374457842956,120.03709832654123
OLD GHAR SOAP,18765432,2012-05-17,25.0,0.0,46.0,0.0009029261528735384,120.03709832654123
RAW ALMONDS WITHOUT SHELL,60010,2012-05-17,21.13,0.0,46.0,0.0007631531844087147,120.03709832654123
BED TIME TEA,6221078624033,2012-05-24,8.19,0.0,46.0,0.0002957986076813712,120.03709832654123
BLACK SEED OIL,6221078931117,2012-05-24,40.95,0.0,46.0,0.001478993038406856,120.03709832654123
BREATHE WELL,6221078354077,2012-05-24,24.57,0.0,46.0,0.0008873958230441136,120.03709832654123
BROWN RICE,6221078144296,2012-05-24,20.8,0.0,46.0,0.000751234559190784,120.03709832654123
ICED TEA WITH CRANBERRY JUICE,613008727826,2012-05-24,16.2,0.0,46.0,0.000585096147062053,120.03709832654123
ICED TEA WITH LEMON FLAVOR,088130994635,2012-05-24,16.2,0.0,46.0,0.000585096147062053,120.03709832654123
ICED TEA WITH PEACH FLAVOR,613008719524,2012-05-24,16.2,0.0,46.0,0.000585096147062053,120.03709832654123
MOTHER TO BE TEA,6221078824075,2012-05-24,8.78,0.0,46.0,0.0003171076648891867,120.03709832654123
NEW MOM TEA,6221078634087,2012-05-24,8.78,0.0,46.0,0.0003171076648891867,120.03709832654123
OLD GHAR SOAP,18765432,2012-05-24,25.0,0.0,46.0,0.0009029261528735384,120.03709832654123
PUMPKIN SEEDS,6221078447144,2012-05-24,9.36,1.1166793196358382,46.0,0.0003380555516358528,120.03709832654123
RAW SLIVERED ALMONDS,60016,2012-05-24,21.13,0.0,46.0,0.0007631531844087147,120.03709832654123
SOY MILK CALCIUM PLUS,8851028000228,2012-05-24,52.02,0.0,46.0,0.0018788087388992589,120.03709832654123
OLD COUNTRY STYLE MUESLI,039978501035,2012-05-31,49.14,0.0,45.0,0.0017747916460882271,120.03709832654123
WHOLE GRAIN QUINOA,024182021509,2012-05-31,56.16,0.0,45.0,0.002028333309815117,120.03709832654123
WILD RICE,073416004320,2012-05-31,76.05,0.0,45.0,0.002746701357041304,120.03709832654123
GOLDEN FLAXSEEDS,039978002303,2012-06-07,266.76,1.7288116562528266,46.0,0.009634583221621805,120.03709832654123
PUMPKIN SEEDS,6221078447144,2012-06-07,18.72,1.1166793196358382,46.0,0.0006761111032717056,120.03709832654123
BABY CARROTS - CHEMICAL FREE,BABYCARROTSCHEMICALFREE,2012-06-28,5.85,0.0,44.0,0.000211284719772408,120.03709832654123
CHICKEN CUTLETS (SHISHTAWOOK),CHICKENCUTLETS(SHISHTAWOOK),2012-06-28,71.4,2.6368791721993246,44.0,0.0025787570926068264,120.03709832654123
COLORED FRENCH LETTUCE,COLOREDFRENCHLETTUCE,2012-06-28,7.59,7.570966855909855,44.0,0.00027412838001240626,120.03709832654123
CUCUMBER - CHEMICAL FREE,CUCUMBERCHEMICALFREE,2012-06-28,5.85,4.021014085727637,44.0,0.000211284719772408,120.03709832654123
DRIED DATES - KHEIR MISR,DRIEDDATES,2012-06-28,30.0,5.372497273607313,44.0,0.0010835113834482461,120.03709832654123
GALIA MELON,GALIAMELON,2012-06-28,10.4,1.5878083105551388,44.0,0.000375617279595392,120.03709832654123
KOFTA,KOFTA,2012-06-28,71.4,3.629345533302808,44.0,0.0025787570926068264,120.03709832654123
PUMPKIN SEEDS,130002,2012-06-28,15.0,7.249876656362986,44.0,0.0005417556917241231,120.03709832654123
RAW ALMONDS - SHELLED,ALMONDSRAWSHELLED,2012-06-28,22.7,7.583275000831513,44.0,0.0008198569468091729,120.03709832654123
TOMATO - CHEMICAL FREE,TOMATOCHEMICALFREE,2012-06-28,5.85,2.694926490925109,44.0,0.000211284719772408,120.03709832654123
VEAL RIBS (BEIT KALAWY),VEALRIBS(BEITKALAWY),2012-06-28,163.2,0.994269591785768,44.0,0.005894301925958459,120.03709832654123
AMERICAN GREEN APPLE,AMERICANGREENAPPLE,2012-07-05,16.26,6.810306164613178,44.0,0.0005872631698289495,120.03709832654123
AVOCADO,AVOCADO,2012-07-05,82.56,10.620630539726372,44.0,0.0029818233272495736,120.03709832654123
BANANA,BANANA,2012-07-05,48.84,8.715679003584299,44.0,0.0017639565322537447,120.03709832654123
BEEF ESCALOPE,BEEFESCALOPE,2012-07-05,81.6,4.521774346165408,44.0,0.0029471509629792293,120.03709832654123
BEEF FILLET,BEEFFILLET,2012-07-05,953.7,4.838648230992848,44.0,0.03444482687981974,120.03709832654123
BEEF LIVER,BEEFLIVER,2012-07-05,81.6,6.504108943996267,44.0,0.0029471509629792293,120.03709832654123
BEEF MINCE,BEEFMINCE,2012-07-05,285.6,6.789590357501374,44.0,0.010315028370427306,120.03709832654123
BEEF SHANKS (MOWAZ),BEEFSHANKS(MOWAZ),2012-07-05,75.3,0.9949099111832505,44.0,0.0027196135724550977,120.03709832654123
BEET ROOT,BEETROOT,2012-07-05,9.76,6.076317100138273,44.0,0.0003525023700818294,120.03709832654123
BROCCOLI,BROCCOLI,2012-07-05,8.14,13.265232140798577,44.0,0.0002939927553756241,120.03709832654123
CHICKEN BREASTS,CHICKENBREASTS,2012-07-05,91.6,6.831000966218426,44.0,0.003308321424128645,120.03709832654123
CHICORY WHITE ENDIVE,CHICORYWHITEENDIVE,2012-07-05,41.2,5.406472531843409,44.0,0.0014880222999355914,120.03709832654123
CITRUS FLOWER HONEY,CITRUSFLOWERHONEY,2012-07-05,47.5,6.600925301722094,44.0,0.001715559690459723,120.03709832654123
COLORED FRENCH LETTUCE,COLOREDFRENCHLETTUCE,2012-07-05,7.59,7.570966855909855,44.0,0.00027412838001240626,120.03709832654123
CUCUMBER,CUCUMBER,2012-07-05,13.0,9.504053581656269,44.0,0.00046952159949424,120.03709832654123
DRIED DATES,DRIEDDATES,2012-07-05,90.0,0.0,44.0,0.0032505341503447386,120.03709832654123
DRIED PRUNE WITH PITS,DRIEDPRUNEWITHPITS,2012-07-05,13.7,6.436156206518162,44.0,0.0004948035317746991,120.03709832654123
FRESH GINGER,FRESHGINGER,2012-07-05,12.74,7.956570554835474,44.0,0.0004601311675043552,120.03709832654123
FRESH ROSEMARY,FRESHROSEMARY,2012-07-05,4.07,3.7255346148253654,44.0,0.00014699637768781206,120.03709832654123
GALIA MELON,GALIAMELON,2012-07-05,20.8,1.5878083105551388,44.0,0.000751234559190784,120.03709832654123
GOLDEN FLAXSEEDS,GOLDENFLAXSEEDS,2012-07-05,43.8,5.248867693279058,44.0,0.0015819266198344394,120.03709832654123
GRANOLA CINNAMON RAISIN,1279C124,2012-07-05,45.54,6.181379765573514,44.0,0.0016447702800744376,120.03709832654123
GRANOLA HONEY OAT,1278C124,2012-07-05,45.54,5.810032187784264,44.0,0.0016447702800744376,120.03709832654123
GREEN ASPARAGUS,GREENASPARAGUS,2012-07-05,65.0,5.489725528272693,44.0,0.0023476079974712,120.03709832654123
HAMBURGER,HAMBURGER,2012-07-05,306.0,3.3857171956887866,44.0,0.01105181611117211,120.03709832654123
ICEBERG LETTUCE (CAPUCHA),ICEBURGLETTUCE(CAPUCHA),2012-07-05,10.84,0.0,44.0,0.0003915087798859663,120.03709832654123
ITALIAN BASIL,ITALIANBASIL,2012-07-05,10.84,9.474178494634033,44.0,0.0003915087798859663,120.03709832654123
KOFTA,KOFTA,2012-07-05,71.4,3.629345533302808,44.0,0.0025787570926068264,120.03709832654123
LOLLA ROSSA,LOLLAROSSA,2012-07-05,8.14,11.561157996854487,44.0,0.0002939927553756241,120.03709832654123
MUSHROOMS,MUSHROOMS,2012-07-05,54.24,2.809749937244832,44.0,0.0019589885812744292,120.03709832654123
OCCRA,OCCRA,2012-07-05,29.9,4.521774346165408,44.0,0.001079899678836752,120.03709832654123
OLD COUNTRY STYLE MUESLI,1183C184,2012-07-05,97.2,7.272121757014838,44.0,0.0035105768823723176,120.03709832654123
ORGANIC BROWN RICE PASTA - ELBOW,ORGANICBROWNRICEPASTA-ELBOW,2012-07-05,78.66,2.678775616330986,44.0,0.0028409668474013014,120.03709832654123
ORGANIC BROWN RICE PASTA - ROTINI,00630-0,2012-07-05,39.33,2.5282783729557945,44.0,0.0014204834237006507,120.03709832654123
ORGANIC MILLET,ORGANICMILLET,2012-07-05,23.87,3.388736877825038,44.0,0.0008621138907636545,120.03709832654123
ORGANIC QUINOA,106900,2012-07-05,49.68,9.891185037644101,44.0,0.0017942948509902957,120.03709832654123
PEACH,PEACH,2012-07-05,28.47,1.4168508097740506,44.0,0.0010282523028923856,120.03709832654123
PINK GRAPEFRUIT,PINKGRAPEFRUIT,2012-07-05,13.54,1.5878083105551388,44.0,0.0004890248043963085,120.03709832654123
POTATOES NICOLA,POTATOESNICOLA,2012-07-05,4.88,4.9840100518293795,44.0,0.0001762511850409147,120.03709832654123
PREMIUM BROWN RICE,PREMIUMBROWNRICE,2012-07-05,20.8,2.7312318593789797,44.0,0.000751234559190784,120.03709832654123
PREMIUM BROWN SUGAR,PREMIUMBROWNSUGAR,2012-07-05,12.35,5.8361262625656,44.0,0.000446045519519528,120.03709832654123
PREMIUM WHEY PROTEIN,140161,2012-07-05,80.0,6.789590357501374,44.0,0.002889363689195323,120.03709832654123
PUMPKIN SEEDS,130002,2012-07-05,15.0,7.249876656362986,44.0,0.0005417556917241231,120.03709832654123
RAW ALMONDS - SHELLED,ALMONDSRAWSHELLED,2012-07-05,22.7,7.583275000831513,44.0,0.0008198569468091729,120.03709832654123
RAW CASHEW NUT,CASHEWNUTRAW,2012-07-05,26.6,8.507633351947641,44.0,0.0009607134266574449,120.03709832654123
RED CURLY FRISEE,REDCURLYFRISEE,2012-07-05,12.19,5.503600693518074,44.0,0.0004402667921411374,120.03709832654123
RED ROMAINE,REDROMAINE,2012-07-05,8.14,9.321878314404364,44.0,0.0002939927553756241,120.03709832654123
SPINASH,SPINASH,2012-07-05,9.76,3.477455030694787,44.0,0.0003525023700818294,120.03709832654123
SPRING ONIONS,SPRINGONIONS,2012-07-05,3.25,0.0,44.0,0.00011738039987356,120.03709832654123
SUCRINE LETTUCE,SUCRINELETTUCE,2012-07-05,12.19,7.400450323544816,44.0,0.0004402667921411374,120.03709832654123
TOMATO,TOMATOES,2012-07-05,13.0,4.782964800177503,44.0,0.00046952159949424,120.03709832654123
VEAL ESCALOPE (BIFTEK),VEALESCALOPE,2012-07-05,306.0,5.280495921766004,44.0,0.01105181611117211,120.03709832654123
WHEAT GRASS,13,2012-07-05,21.5,5.030351834149149,44.0,0.0007765164914712431,120.03709832654123
WHITE PEACH,WHITEPEACH,2012-07-05,15.22,1.2799765260455676,44.0,0.0005497014418694102,120.03709832654123
WHOLE CHICKEN,WHOLECHICKEN,2012-07-05,28.4,6.451077512729908,44.0,0.0010257241096643397,120.03709832654123
ZUCCHINI,ZUCCHINI,2012-07-05,3.42,9.731088807248756,44.0,0.00012352029771310006,120.03709832654123
AMERICAN GREEN APPLE,AMERICANGREENAPPLE,2012-07-12,15.63,6.810306164613178,44.0,0.0005645094307765362,120.03709832654123
AMERICAN RED APPLE,AMERICANREDAPPLE,2012-07-12,69.1,5.011920514778856,44.0,0.00249568788654246,120.03709832654123
BANANA,BANANA,2012-07-12,56.980000000000004,8.715679003584299,44.0,0.002057949287629369,120.03709832654123
BEEF (KOLATA),BEEF(KOLATA),2012-07-12,841.5,0.8851800495114137,44.0,0.030392494305723303,120.03709832654123
BEEF (TRIBIANCO),BEEF(TRIBIANCO),2012-07-12,163.2,0.0,44.0,0.005894301925958459,120.03709832654123
BEEF ENTRECOTE,BEEFENTRECOTE,2012-07-12,326.4,4.713530212270278,44.0,0.011788603851916917,120.03709832654123
BEEF ENTRECOTE R,BEEFENTRECOTE,2012-07-12,244.79999999999998,0.0,44.0,0.008841452888937689,120.03709832654123
BEEF ESCALOPE,BEEFESCALOPE,2012-07-12,408.0,4.521774346165408,44.0,0.014735754814896147,120.03709832654123
BEEF FILLET,BEEFFILLET,2012-07-12,520.18,4.838648230992848,44.0,0.018787365048070288,120.03709832654123
BEEF SHANKS (MOWAZ),BEEFSHANKS(MOWAZ),2012-07-12,531.7199999999999,0.9949099111832505,44.0,0.01920415576023671,120.03709832654123
CHICKEN BREASTS,CHICKENBREASTS,2012-07-12,458.0,6.831000966218426,44.0,0.016541607120643224,120.03709832654123
CHICKEN CUTLETS (SHISHTAWOOK),CHICKENCUTLETS(SHISHTAWOOK),2012-07-12,317.6,2.6368791721993246,44.0,0.011470773846105434,120.03709832654123
CHIVES,CHIVES,2012-07-12,5.42,10.166102493824901,44.0,0.00019575438994298315,120.03709832654123
CITRUS FLOWER HONEY,CITRUSFLOWERHONEY,2012-07-12,142.5,6.600925301722094,44.0,0.005146679071379169,120.03709832654123
COLORED FRENCH LETTUCE,COLOREDFRENCHLETTUCE,2012-07-12,7.59,7.570966855909855,44.0,0.00027412838001240626,120.03709832654123
CUCUMBER,CUCUMBER,2012-07-12,5.2,9.504053581656269,44.0,0.000187808639797696,120.03709832654123
DRIED APRICOTS,DRIEDAPRICOTS,2012-07-12,25.0,8.041186528985689,44.0,0.0009029261528735384,120.03709832654123
DRIED BLUEBERRIES,DRIEDBLUEBERRIES,2012-07-12,53.93,8.320385993724532,44.0,0.0019477922969787973,120.03709832654123
DRIED DATES,DRIEDDATES,2012-07-12,120.0,0.0,44.0,0.0043340455337929846,120.03709832654123
DRIED FIGS,DRIEDFIGS,2012-07-12,50.4,6.343653004606931,44.0,0.0018202991241930535,120.03709832654123
DRIED GOJI BERRIES,DRIEDGOJIBERRIES,2012-07-12,72.75,6.763740259001039,44.0,0.002627515104861997,120.03709832654123
DRIED PRUNE WITH PITS,DRIEDPRUNEWITHPITS,2012-07-12,27.4,6.436156206518162,44.0,0.0009896070635493982,120.03709832654123
FRESH GINGER,FRESHGINGER,2012-07-12,25.48,7.956570554835474,44.0,0.0009202623350087104,120.03709832654123
GALIA MELON,GALIAMELON,2012-07-12,10.4,1.5878083105551388,44.0,0.000375617279595392,120.03709832654123
GOLDEN FLAXSEED MEAL,1236C164,2012-07-12,87.8,7.54171466416742,44.0,0.003171076648891867,120.03709832654123
GOLDEN FLAXSEEDS,GOLDENFLAXSEEDS,2012-07-12,43.8,5.248867693279058,44.0,0.0015819266198344394,120.03709832654123
GOLDEN RAISINS,GOLDENRAISINS,2012-07-12,33.3,6.971872031301052,44.0,0.0012026976356275532,120.03709832654123
GREEN ASPARAGUS,GREENASPARAGUS,2012-07-12,65.0,5.489725528272693,44.0,0.0023476079974712,120.03709832654123
GREEN BEANS,GREENBEANS,2012-07-12,4.88,12.526610701946051,44.0,0.0001762511850409147,120.03709832654123
HAMBURGER,HAMBURGER,2012-07-12,314.0,3.3857171956887866,44.0,0.011340752480091643,120.03709832654123
HONEY SPOON,HONEYSPOON,2012-07-12,3.0,10.624273129587536,44.0,0.00010835113834482462,120.03709832654123
KOFTA,KOFTA,2012-07-12,71.4,3.629345533302808,44.0,0.0025787570926068264,120.03709832654123
LARGE EUROPEAN LEMON,LARGEEUROPEANLEMON,2012-07-12,4.07,0.5386929837094101,44.0,0.00014699637768781206,120.03709832654123
LOLLA ROSSA,LOLLAROSSA,2012-07-12,8.14,11.561157996854487,44.0,0.0002939927553756241,120.03709832654123
MARJORAM,MARJORAM,2012-07-12,4.07,6.542101786336674,44.0,0.00014699637768781206,120.03709832654123
MUSHROOMS,MUSHROOMS,2012-07-12,40.68,2.809749937244832,44.0,0.0014692414359558218,120.03709832654123
OLD FASHIONED ROLLED OATS,1982C324,2012-07-12,72.45,3.7255346148253654,44.0,0.0026166799910275146,120.03709832654123
ORGANIC BROWN RICE PASTA - ELBOW,ORGANICBROWNRICEPASTA-ELBOW,2012-07-12,39.33,2.678775616330986,44.0,0.0014204834237006507,120.03709832654123
ORGANIC MILLET,ORGANICMILLET,2012-07-12,23.87,3.388736877825038,44.0,0.0008621138907636545,120.03709832654123
ORGANIC QUINOA,106900,2012-07-12,149.04,9.891185037644101,44.0,0.005382884552970887,120.03709832654123
PEACH,PEACH,2012-07-12,9.49,1.4168508097740506,44.0,0.0003427507676307952,120.03709832654123
PINK GRAPEFRUIT,PINKGRAPEFRUIT,2012-07-12,6.77,1.5878083105551388,44.0,0.00024451240219815424,120.03709832654123
POTATOES NICOLA,POTATOESNICOLA,2012-07-12,9.76,4.9840100518293795,44.0,0.0003525023700818294,120.03709832654123
PREMIUM BROWN RICE,PREMIUMBROWNRICE,2012-07-12,93.60000000000001,2.7312318593789797,44.0,0.003380555516358528,120.03709832654123
PREMIUM BROWN SUGAR,PREMIUMBROWNSUGAR,2012-07-12,12.35,5.8361262625656,44.0,0.000446045519519528,120.03709832654123
PREMIUM FLAX SEEDS,140166,2012-07-12,20.0,7.855928530917589,44.0,0.0007223409222988308,120.03709832654123
PREMIUM GREEN TEA,140170,2012-07-12,50.0,4.026570321175704,44.0,0.001805852305747077,120.03709832654123
PREMIUM LARGE LEAF HIBISCUS,HIBISCUS,2012-07-12,10.1,3.200827973420961,44.0,0.0003647821657609095,120.03709832654123
PREMIUM NORWEGIAN SALMON STEAK,PREMIUMNORWEGIANSALMONSTEAK,2012-07-12,224.37,5.120478661223116,44.0,0.008103581636809434,120.03709832654123
PREMIUM PORTUGUESE SEA SALT,105390,2012-07-12,26.9,3.563018369750881,44.0,0.0009715485404919274,120.03709832654123
PUMPKIN SEEDS,130002,2012-07-12,15.0,7.249876656362986,44.0,0.0005417556917241231,120.03709832654123
RAW ALMONDS - SHELLED,ALMONDSRAWSHELLED,2012-07-12,68.1,7.583275000831513,44.0,0.0024595708404275183,120.03709832654123
RAW CASHEW NUT,CASHEWNUTRAW,2012-07-12,26.6,8.507633351947641,44.0,0.0009607134266574449,120.03709832654123
RAW PECAN,PECANRAW,2012-07-12,49.14,10.650348441196055,44.0,0.0017747916460882271,120.03709832654123
RAW WALNUT - SHELLED,WALNUTSHELLEDRAW-KG,2012-07-12,200.54999999999998,6.499427572682359,44.0,0.007243273598351526,120.03709832654123
SAUSAGE (SOGO2),SAUSAGE(SOGO2),2012-07-12,61.2,4.839459296544657,44.0,0.002210363222234422,120.03709832654123
SHORT GRAIN BROWN RICE,SHORTGRAINBROWNRICE,2012-07-12,31.8,8.19519003689173,44.0,0.001148522066455141,120.03709832654123
TEA TREE THERAPY ANTISEPTIC CREAM,TEATREETHERAPYANTISEPTICCREAM,2012-07-12,34.67,4.521774346165408,44.0,0.0012521779888050233,120.03709832654123
TEA TREE THERAPY LIQUID SOAP,60360,2012-07-12,37.26,4.521774346165408,44.0,0.0013457211382427218,120.03709832654123
TEA TREE THERAPY SHAMPOO,TEATREETHERAPYSHAMPOO,2012-07-12,87.24,4.156230897630686,44.0,0.0031508511030675,120.03709832654123
TOMATO,TOMATOES,2012-07-12,3.25,4.782964800177503,44.0,0.00011738039987356,120.03709832654123
VEAL LIVER,VEALLIVER,2012-07-12,102.0,4.837779721696878,44.0,0.003683938703724037,120.03709832654123
VEAL RIBS (BEIT KALAWY),VEALRIBS(BEITKALAWY),2012-07-12,408.0,0.994269591785768,44.0,0.014735754814896147,120.03709832654123
WHEAT GRASS,13,2012-07-12,21.5,5.030351834149149,44.0,0.0007765164914712431,120.03709832654123
WHITE PEACH,WHITEPEACH,2012-07-12,30.44,1.2799765260455676,44.0,0.0010994028837388204,120.03709832654123
WHOLE CHICKEN,WHOLECHICKEN,2012-07-12,908.8,6.451077512729908,44.0,0.03282317150925887,120.03709832654123
ZUCCHINI,ZUCCHINI,2012-07-12,6.84,9.731088807248756,44.0,0.0002470405954262001,120.03709832654123
AVOCADO,AVOCADO,2012-07-19,41.28,10.620630539726372,44.0,0.0014909116636247868,120.03709832654123
BANANA,BANANA,2012-07-19,16.28,8.715679003584299,44.0,0.0005879855107512482,120.03709832654123
BEEF (KOLATA),BEEF(KOLATA),2012-07-19,535.5,0.8851800495114137,44.0,0.019340678194551195,120.03709832654123
BEEF (TRIBIANCO),BEEF(TRIBIANCO),2012-07-19,81.6,0.0,44.0,0.0029471509629792293,120.03709832654123
BEEF ENTRECOTE,BEEFENTRECOTE,2012-07-19,163.2,4.713530212270278,44.0,0.005894301925958459,120.03709832654123
BEEF ESCALOPE,BEEFESCALOPE,2012-07-19,81.6,4.521774346165408,44.0,0.0029471509629792293,120.03709832654123
BEEF FILLET,BEEFFILLET,2012-07-19,780.27,4.838648230992848,44.0,0.028181047572105433,120.03709832654123
BEEF MINCE,BEEFMINCE,2012-07-19,214.20000000000002,6.789590357501374,44.0,0.007736271277820478,120.03709832654123
BEET ROOT,BEETROOT,2012-07-19,4.88,6.076317100138273,44.0,0.0001762511850409147,120.03709832654123
CHICKEN BREASTS,CHICKENBREASTS,2012-07-19,412.19999999999993,6.831000966218426,44.0,0.0148874464085789,120.03709832654123
CHICKEN CUTLETS (SHISHTAWOOK),CHICKENCUTLETS(SHISHTAWOOK),2012-07-19,119.10000000000001,2.6368791721993246,44.0,0.004301540192289537,120.03709832654123
CHICORY WHITE ENDIVE,CHICORYWHITEENDIVE,2012-07-19,164.8,5.406472531843409,44.0,0.005952089199742366,120.03709832654123
CHINESE CABBAGE,CHINESECABBAGE,2012-07-19,9.49,5.6009962934181035,44.0,0.0003427507676307952,120.03709832654123
CHIVES,CHIVES,2012-07-19,5.42,10.166102493824901,44.0,0.00019575438994298315,120.03709832654123
COLORED FRENCH LETTUCE,COLOREDFRENCHLETTUCE,2012-07-19,15.18,7.570966855909855,44.0,0.0005482567600248125,120.03709832654123
CUCUMBER,CUCUMBER,2012-07-19,13.0,9.504053581656269,44.0,0.00046952159949424,120.03709832654123
DRIED APRICOTS,DRIEDAPRICOTS,2012-07-19,12.5,8.041186528985689,44.0,0.0004514630764367692,120.03709832654123
DRIED BLUEBERRIES,DRIEDBLUEBERRIES,2012-07-19,53.93,8.320385993724532,44.0,0.0019477922969787973,120.03709832654123
DRIED CRANBERRY,DRIEDCRANBERRY,2012-07-19,53.93,8.26557536126209,44.0,0.0019477922969787973,120.03709832654123
DRIED DATES,DRIEDDATES,2012-07-19,60.0,0.0,44.0,0.0021670227668964923,120.03709832654123
DRIED FIGS,DRIEDFIGS,2012-07-19,12.6,6.343653004606931,44.0,0.00045507478104826336,120.03709832654123
DRIED PRUNE WITH PITS,DRIEDPRUNEWITHPITS,2012-07-19,13.7,6.436156206518162,44.0,0.0004948035317746991,120.03709832654123
FRESH GINGER,FRESHGINGER,2012-07-19,12.74,7.956570554835474,44.0,0.0004601311675043552,120.03709832654123
FRESH ROSEMARY,FRESHROSEMARY,2012-07-19,4.07,3.7255346148253654,44.0,0.00014699637768781206,120.03709832654123
GREEN ASPARAGUS,GREENASPARAGUS,2012-07-19,130.0,5.489725528272693,44.0,0.0046952159949424,120.03709832654123
HAMBURGER,HAMBURGER,2012-07-19,62.8,3.3857171956887866,44.0,0.0022681504960183284,120.03709832654123
HIGH GRADE BEE POLLEN DUST,140063,2012-07-19,87.0,4.521774346165408,44.0,0.003142183011999914,120.03709832654123
ITALIAN BASIL,ITALIANBASIL,2012-07-19,21.68,9.474178494634033,44.0,0.0007830175597719326,120.03709832654123
KOFTA,KOFTA,2012-07-19,71.4,3.629345533302808,44.0,0.0025787570926068264,120.03709832654123
LARGE EUROPEAN LEMON,LARGEEUROPEANLEMON,2012-07-19,16.28,0.5386929837094101,44.0,0.0005879855107512482,120.03709832654123
LEMONGRASS,LEMONGRASS,2012-07-19,12.19,6.348004873724755,44.0,0.0004402667921411374,120.03709832654123
LOLLA ROSSA,LOLLAROSSA,2012-07-19,8.14,11.561157996854487,44.0,0.0002939927553756241,120.03709832654123
LOLLO BIONDA,LOLLOBIONDA,2012-07-19,8.14,9.362686781658503,44.0,0.0002939927553756241,120.03709832654123
MUSHROOMS,MUSHROOMS,2012-07-19,67.8,2.809749937244832,44.0,0.0024487357265930362,120.03709832654123
ORGANIC MILLET,ORGANICMILLET,2012-07-19,23.87,3.388736877825038,44.0,0.0008621138907636545,120.03709832654123
PEACH,PEACH,2012-07-19,18.98,1.4168508097740506,44.0,0.0006855015352615904,120.03709832654123
POTATOES NICOLA,POTATOESNICOLA,2012-07-19,9.76,4.9840100518293795,44.0,0.0003525023700818294,120.03709832654123
PREMIUM NORWEGIAN SALMON STEAK,PREMIUMNORWEGIANSALMONSTEAK,2012-07-19,49.86,5.120478661223116,44.0,0.0018007959192909851,120.03709832654123
PREMIUM NORWEGIAN SMOKED SALMON,PREMIUMNORWEGIANSMOKEDSALMON,2012-07-19,48.9,8.618592956761084,44.0,0.0017661235550206413,120.03709832654123
